movieId,ImdbId,Title,Director,Budget,Cumulative Worldwide Gross,runtime
1,0114709,Toy Story,John Lasseter,30000000,394436586,81
2,0113497,Jumanji,Joe Johnston,65000000,262821940,104
3,0113228,Grumpier Old Men,Howard Deutch,25000000,71518503,101
4,0114885,Waiting to Exhale,Forest Whitaker,16000000,81452156,124
5,0113041,Father of the Bride Part II,Charles Shyer,30000000,76594107,106
6,0113277,Heat,Michael Mann,60000000,187436818,170
7,0114319,Sabrina,Sydney Pollack,58000000,53696959,127
8,0112302,Tom and Huck,Peter Hewitt,0,23920048,97
9,0114576,Sudden Death,Peter Hyams,35000000,64350171,111
10,0113189,GoldenEye,Martin Campbell,60000000,352194034,130
11,0112346,The American President,Rob Reiner,62000000,107879496,114
12,0112896,Dracula: Dead and Loving It,Mel Brooks,30000000,10772144,88
13,0112453,Balto,Simon Wells,0,11349090,78
14,0113987,Nixon,Oliver Stone,44000000,13681765,192
15,0112760,Cutthroat Island,Renny Harlin,98000000,10017322,124
16,0112641,Casino,Martin Scorsese,52000000,116112375,178
17,0114388,Sense and Sensibility,Ang Lee,16000000,134582776,136
18,0113101,Four Rooms,Directors,4000000,4257354,98
19,0112281,Ace Ventura: When Nature Calls,Steve Oedekerk,30000000,212385533,90
20,0113845,Money Train,Joseph Ruben,68000000,35431113,110
21,0113161,Get Shorty,Barry Sonnenfeld,30250000,115101622,105
22,0112722,Copycat,Jon Amiel,20000000,32051917,123
23,0112401,Assassins,Richard Donner,50000000,30303072,133
24,0114168,Powder,Victor Salva,9500000,30862156,111
25,0113627,Leaving Las Vegas,Mike Figgis,3600000,32029928,111
26,0114057,Othello,Oliver Parker,11000000,2844379,123
27,0114011,Now and Then,Lesli Linka Glatter,0,37591674,102
28,0114117,Persuasion,Roger Michell,1000000,5269757,103
29,0112682,The City of Lost Children,Marc Caro,18000000,1784338,112
30,0115012,Shanghai Triad,Yimou Zhang,0,2086101,108
31,0112792,Dangerous Minds,John N. Smith,23000000,179519401,99
32,0114746,12 Monkeys,Terry Gilliam,29000000,168839459,129
33,0112431,Babe,Chris Noonan,30000000,254134910,91
34,0112818,Dead Man Walking,Tim Robbins,11000000,39363635,122
35,0113442,It Takes Two,Andy Tennant,0,19474589,101
36,0112697,Clueless,Amy Heckerling,12000000,56753362,97
37,0112749,"Cry, the Beloved Country",Darrell Roodt,0,670727,106
38,0114279,Richard III,Richard Loncraine,6000000,2748518,104
39,0112819,Dead Presidents,Albert Hughes,10000000,24147179,119
40,0114272,Restoration,Michael Hoffman,19000000,4005941,117
41,0113855,Mortal Kombat,Paul W.S. Anderson,18000000,122195920,101
42,0114681,To Die For,Gus Van Sant,20000000,21287694,106
43,0113347,How to Make an American Quilt,Jocelyn Moorhouse,10000000,41200020,117
44,0114369,Se7en,David Fincher,33000000,328983304,127
45,0114148,Pocahontas,Mike Gabriel,55000000,346079773,81
46,0114916,When Night Is Falling,Patricia Rozema,0,919671,94
47,0114814,The Usual Suspects,Bryan Singer,6000000,23341568,106
48,0113819,Mighty Aphrodite,Woody Allen,15000000,6468498,95
49,0110299,Lamerica,Gianni Amelio,0,4788331,116
